,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Col.,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
1980,-1.3999999999999986,-27.9,-32.400000000000006,-0.6000000000000014,-16.800000000000004,-24.0,-9.700000000000003,-2.4000000000000057,61.4,-17.0,14.799999999999997,1.8999999999999986,-41.3,-7.899999999999999,-18.299999999999997,-12.699999999999996,-24.6,-1.5,-5.5,-3.3000000000000043,2.8999999999999986,-0.19999999999999574,-6.5,3.8999999999999986,-1.2999999999999972,-6.900000000000006,-24.4,-39.5,-35.6,-29.300000000000004,-13.399999999999999,-18.199999999999996,-2.700000000000003,-2.0999999999999943,-37.900000000000006,-10.600000000000001,-25.5,-9.599999999999994,-7.100000000000001,10.5,-1.2999999999999972,-28.8,-0.30000000000000426,-13.899999999999999,-52.199999999999996,-6.0,-12.700000000000003,-12.400000000000006,4.5,-4.699999999999996,-34.6,-9.700000000000003
1984,-22.200000000000003,-36.800000000000004,-33.900000000000006,-22.200000000000003,-16.200000000000003,-28.299999999999997,-21.900000000000006,-19.9,71.7,-30.599999999999994,-20.400000000000006,-11.300000000000004,-46.00000000000001,-12.900000000000006,-24.0,-7.399999999999999,-33.699999999999996,-20.6,-22.599999999999994,-22.0,-5.5,-2.8000000000000043,-19.0,0.20000000000000284,-24.5,-20.0,-22.299999999999997,-41.8,-33.8,-37.699999999999996,-20.9,-20.5,-8.0,-24.0,-31.0,-18.799999999999997,-37.89999999999999,-12.199999999999996,-7.299999999999997,-3.700000000000003,-28.0,-26.5,-16.199999999999996,-27.5,-49.8,-17.1,-25.199999999999996,-12.899999999999999,-10.5,-9.200000000000003,-42.3,-18.199999999999996
1988,-19.300000000000004,-23.300000000000004,-21.299999999999997,-14.199999999999996,-3.5,-7.800000000000004,-5.100000000000001,-12.399999999999999,68.3,-22.4,-20.299999999999997,9.5,-26.1,-2.1000000000000014,-20.099999999999994,10.200000000000003,-13.199999999999996,-11.600000000000001,-10.199999999999996,-11.399999999999999,-2.8999999999999986,7.800000000000004,-7.899999999999999,7.0,-20.799999999999997,-4.0,-5.899999999999999,-21.0,-21.0,-26.1,-13.600000000000001,-5.0,4.100000000000001,-16.299999999999997,-13.0,-10.899999999999999,-16.6,4.699999999999996,-2.3000000000000043,11.700000000000003,-23.9,-6.299999999999997,-16.4,-12.700000000000003,-34.2,-3.5,-20.5,1.5,4.700000000000003,3.6000000000000014,-22.5,-7.799999999999997
1992,-6.700000000000003,-9.2,-2.0,17.700000000000003,13.399999999999999,4.200000000000003,6.400000000000006,8.200000000000003,75.5,-1.8999999999999986,0.6000000000000014,11.399999999999999,-13.600000000000001,14.300000000000004,-6.100000000000001,6.0,-5.199999999999996,3.3000000000000043,4.600000000000001,8.399999999999999,14.199999999999996,18.5,7.399999999999999,11.600000000000001,-8.900000000000006,10.200000000000003,2.5,-17.200000000000003,2.6999999999999957,1.2999999999999972,2.3999999999999986,8.600000000000001,15.800000000000004,-0.6999999999999957,-12.0,1.9000000000000057,-8.600000000000001,10.0,9.0,18.0,-8.100000000000001,-3.6000000000000014,4.700000000000003,-3.5,-18.7,15.700000000000003,-4.399999999999999,11.399999999999999,13.0,4.300000000000004,-5.600000000000001,5.600000000000001
1996,-6.899999999999999,-17.5,2.200000000000003,16.900000000000006,12.899999999999999,-1.3999999999999986,18.099999999999994,15.199999999999996,75.9,5.700000000000003,-1.2000000000000028,25.299999999999997,-18.6,17.5,-5.5,10.399999999999999,-18.199999999999996,0.8999999999999986,12.100000000000001,20.8,16.0,33.4,13.200000000000003,16.1,-5.100000000000001,6.299999999999997,-2.8000000000000043,-18.700000000000003,1.0,9.899999999999999,17.800000000000004,7.300000000000004,28.9,-4.700000000000003,-6.799999999999997,6.399999999999999,-7.899999999999999,8.100000000000001,9.200000000000003,32.900000000000006,-5.799999999999997,-3.5,2.3999999999999986,-5.0,-21.1,22.299999999999997,-2.0,12.5,14.700000000000003,10.299999999999997,-13.0,8.5
2000,-14.899999999999999,-30.900000000000002,-6.299999999999997,-5.399999999999999,11.699999999999996,-8.399999999999999,17.5,13.100000000000001,76.2,0.0,-11.700000000000003,18.299999999999997,-39.6,12.0,-15.600000000000001,0.29999999999999716,-20.799999999999997,-15.100000000000001,-7.700000000000003,5.100000000000001,16.200000000000003,27.299999999999997,5.199999999999996,2.3999999999999986,-16.9,-3.299999999999997,-25.0,-28.900000000000006,-3.5,-1.3000000000000043,15.800000000000004,0.10000000000000142,25.0,-12.799999999999997,-27.6,-3.6000000000000014,-21.9,0.5,4.200000000000003,29.1,-15.899999999999999,-22.699999999999996,-3.8000000000000043,-21.299999999999997,-40.5,9.899999999999999,-8.100000000000001,5.600000000000001,-6.299999999999997,0.19999999999999574,-40.099999999999994,0.5
2004,-25.700000000000003,-25.6,-10.5,-9.799999999999997,9.899999999999999,-4.700000000000003,10.399999999999999,7.5,79.9,-5.0,-16.6,8.700000000000003,-38.10000000000001,10.299999999999997,-20.6,-0.6999999999999957,-25.4,-19.799999999999997,-14.5,9.0,13.0,25.1,3.4000000000000057,3.5,-19.700000000000003,-7.199999999999996,-20.5,-33.2,-2.6000000000000014,1.3000000000000043,6.699999999999996,-0.7999999999999972,18.299999999999997,-12.399999999999999,-27.4,-2.0999999999999943,-31.199999999999996,4.099999999999994,2.5,20.699999999999996,-17.1,-21.5,-14.299999999999997,-22.9,-45.5,20.1,-8.200000000000003,7.199999999999996,-12.899999999999999,0.4000000000000057,-39.800000000000004,-2.4000000000000057
2008,-21.599999999999994,-21.5,-8.5,-19.800000000000004,24.0,9.0,22.4,25.0,86.0,2.799999999999997,-5.200000000000003,45.199999999999996,-25.4,25.1,1.0,9.5,-14.899999999999999,-16.199999999999996,-18.700000000000003,17.300000000000004,25.4,25.799999999999997,16.4,10.300000000000004,-13.200000000000003,-0.10000000000000142,-2.200000000000003,-14.899999999999999,12.399999999999999,9.699999999999996,15.599999999999994,15.100000000000001,26.699999999999996,0.30000000000000426,-8.699999999999996,4.600000000000001,-31.199999999999996,16.300000000000004,10.299999999999997,27.9,-9.0,-8.5,-15.100000000000001,-11.799999999999997,-28.200000000000003,37.1,6.300000000000004,17.200000000000003,-13.100000000000001,13.900000000000006,-32.00000000000001,7.199999999999996
2012,-22.1,-14.0,-9.100000000000001,-23.700000000000003,23.1,5.399999999999999,17.4,18.6,83.60000000000001,0.8999999999999986,-7.799999999999997,42.7,-31.9,16.9,-10.200000000000003,5.799999999999997,-21.700000000000003,-22.700000000000003,-17.199999999999996,15.299999999999997,26.1,23.200000000000003,9.5,7.700000000000003,-11.5,-9.399999999999999,-13.699999999999996,-21.799999999999997,6.699999999999996,5.5,17.699999999999996,10.200000000000003,28.199999999999996,-2.0,-19.599999999999994,3.0,-33.599999999999994,12.100000000000001,5.399999999999999,27.5,-10.5,-18.0,-20.4,-15.800000000000004,-48.099999999999994,35.599999999999994,3.9000000000000057,14.900000000000006,-26.799999999999997,6.899999999999999,-40.8,3.8999999999999986
2016,-27.700000000000003,-14.699999999999996,-3.6000000000000014,-26.9,30.1,4.900000000000006,13.700000000000003,11.5,86.80000000000001,-1.2000000000000028,-5.100000000000001,32.2,-31.799999999999997,17.0,-19.1,-9.399999999999999,-20.6,-29.799999999999997,-19.700000000000003,2.8999999999999986,26.4,27.200000000000003,-0.20000000000000284,1.5,-17.799999999999997,-18.699999999999996,-20.6,-25.0,2.3999999999999986,0.29999999999999716,14.100000000000001,8.299999999999997,22.5,-3.5999999999999943,-35.8,-8.100000000000001,-36.4,11.0,-0.7000000000000028,15.5,-14.199999999999996,-29.8,-26.0,-9.0,-18.0,26.400000000000002,5.399999999999999,16.199999999999996,-42.099999999999994,-0.7000000000000028,-46.300000000000004,2.1000000000000014
